sentence_id,sentence_text,transgression_hit_count,punishment_hit_count,transgression_lemmas,punishment_lemmas,any_hit
0,"The Project Gutenberg eBook of Grimms' Fairy Tales
    
This ebook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever.",0,0,,,0
1,"You may copy it, give it away or re-use it under the terms
of the Project Gutenberg License included with this ebook or online
at www.gutenberg.org.",0,0,,,0
2,"If you are not located in the United States,
you will have to check the laws of the country where you are located
before using this eBook.",0,0,,,0
3,"Title: Grimms' Fairy Tales

Author: Jacob Grimm
        Wilhelm Grimm

Release date: April 1, 2001",0,0,,,0
4,"[eBook #2591]
                Most recently updated: June 28, 2021

Language: English

Credits: Emma Dudding, John Bickers, Dagny and David Widger


*** START OF THE PROJECT GUTENBERG EBOOK GRIMMS' FAIRY TALES ***




Grimms’ Fairy Tales

By Jacob Grimm and Wilhelm Grimm



PREPARER’S NOTE",0,0,,,0
5,"The text is based on translations from
     the Grimms’ Kinder und Hausmärchen by
     Edgar Taylor and Marian Edwardes.




CONTENTS:

     THE GOLDEN BIRD
     HANS IN LUCK
     JORINDA AND JORINDEL
     THE TRAVELLING MUSICIANS
     OLD SULTAN
     THE STRAW, THE COAL, AND THE BEAN
     BRIAR ROSE
     THE DOG AND THE SPARROW
     THE TWELVE DANCING PRINCESSES
     THE FISHERMAN AND HIS WIFE",0,0,,,0
6,"THE WILLOW-WREN AND THE BEAR
     THE FROG-PRINCE
     CAT AND MOUSE IN PARTNERSHIP
     THE GOOSE-GIRL
     THE ADVENTURES OF CHANTICLEER AND PARTLET
       1.",0,0,,,0
7,"HOW THEY WENT TO THE MOUNTAINS TO EAT NUTS
       2.",1,1,eat,eat,1
8,HOW CHANTICLEER AND PARTLET WENT TO VISIT MR KORBES,0,0,,,0
9,"RAPUNZEL
     FUNDEVOGEL
     THE VALIANT LITTLE TAILOR
     HANSEL AND GRETEL
     THE MOUSE, THE BIRD, AND THE SAUSAGE
     MOTHER HOLLE
     LITTLE RED-CAP [LITTLE RED RIDING HOOD]
     THE ROBBER BRIDEGROOM
     TOM THUMB
     RUMPELSTILTSKIN
     CLEVER GRETEL
     THE OLD MAN AND HIS GRANDSON
     THE LITTLE PEASANT
     FREDERICK AND CATHERINE
     SWEETHEART ROLAND
     SNOWDROP
     THE PINK
     CLEVER ELSIE
     THE MISER IN THE BUSH
     ASHPUTTEL
     THE WHITE SNAKE
     THE WOLF AND THE SEVEN LITTLE KIDS
     THE QUEEN BEE
     THE ELVES AND THE SHOEMAKER
     THE JUNIPER-TREE
     the juniper-tree.",0,0,,,0
10,"THE TURNIP
     CLEVER HANS
     THE THREE LANGUAGES
     THE FOX AND THE CAT
     THE FOUR CLEVER BROTHERS
     LILY AND THE LION",0,0,,,0
11,"THE FOX AND THE HORSE
     THE BLUE LIGHT
     THE RAVEN
     THE GOLDEN GOOSE
     THE WATER OF LIFE
     THE TWELVE HUNTSMEN
     THE KING OF THE GOLDEN MOUNTAIN
     DOCTOR KNOWALL
     THE SEVEN RAVENS
     THE WEDDING OF MRS FOX
     FIRST STORY
     SECOND STORY
     THE SALAD
     THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS
     KING GRISLY-BEARD
     IRON HANS
     CAT-SKIN
     SNOW-WHITE AND ROSE-RED




THE BROTHERS GRIMM FAIRY TALES",0,0,,,0
12,"THE GOLDEN BIRD


A certain king had a beautiful garden, and in the garden stood a tree
which bore golden apples.",0,0,,,0
13,"These apples were always counted, and about
the time when they began to grow ripe it was found that every night one
of them was gone.",0,0,,,0
14,"The king became very angry at this, and ordered the
gardener to keep watch all night under the tree.",0,0,,,0
15,"The gardener set his
eldest son to watch; but about twelve o’clock he fell asleep, and in
the morning another of the apples was missing.",0,1,,fall,1
16,"Then the second son was
ordered to watch; and at midnight he too fell asleep, and in the morning
another apple was gone.",0,1,,fall,1
17,"Then the third son offered to keep watch; but
the gardener at first would not let him, for fear some harm should come
to him: however, at last he consented, and the young man laid himself
under the tree to watch.",0,0,,,0
18,"As the clock struck twelve he heard a rustling
noise in the air, and a bird came flying that was of pure gold; and as
it was snapping at one of the apples with its beak, the gardener’s son
jumped up and shot an arrow at it.",0,0,,,0
19,"But the arrow did the bird no harm;
only it dropped a golden feather from its tail, and then flew away.",0,0,,,0
20,"The golden feather was brought to the king in the morning, and all the
council was called together.",0,0,,,0
21,"Everyone agreed that it was worth more than
all the wealth of the kingdom: but the king said, ‘One feather is of no
use to me, I must have the whole bird.’",0,0,,,0
22,"Then the gardener’s eldest son set out and thought to find the golden
bird very easily; and when he had gone but a little way, he came to a
wood, and by the side of the wood he saw a fox sitting; so he took his
bow and made ready to shoot at it.",1,0,take,,1
23,"Then the fox said, ‘Do not shoot me,
for I will give you good counsel; I know what your business is, and
that you want to find the golden bird.",0,0,,,0
24,"You will reach a village in the
evening; and when you get there, you will see two inns opposite to each
other, one of which is very pleasant and beautiful to look at: go not in
there, but rest for the night in the other, though it may appear to you
to be very poor and mean.’",0,0,,,0
25,"But the son thought to himself, ‘What can
such a beast as this know about the matter?’",0,0,,,0
26,"So he shot his arrow at
the fox; but he missed it, and it set up its tail above its back and
ran into the wood.",0,0,,,0
27,"Then he went his way, and in the evening came to
the village where the two inns were; and in one of these were people
singing, and dancing, and feasting; but the other looked very dirty,
and poor.",0,0,,,0
28,"‘I should be very silly,’ said he, ‘if I went to that shabby
house, and left this charming place’; so he went into the smart house,
and ate and drank at his ease, and forgot the bird, and his country too.",1,1,eat,eat,1
29,"Time passed on; and as the eldest son did not come back, and no tidings
were heard of him, the second son set out, and the same thing happened
to him.",0,0,,,0
